the_geom,OBJECTID,PLACENAME,PLACETYPE,ADDRESS,CITY,ZIP,SOURCE,UNIQUEID,SYMBOLOGYQUERY,LATITUDE,LONGITUDE,LASTUPDATE,EDITOR,NOTES,EditingNotes,ID_NCES,CD_CODE,CDS_CODE,DISTRICT_NAME,DISTRICT_TYPE,DISTRICT_NAME_SHORT,GEOID10
POINT (-121.988561629983 37.329063484034),164,Dwight D. Eisenhower Elementary,Public School,277 Rodonovan Drive,Santa Clara,95051,School Website 2014/CA_DEPT_EDU,43694196046809,,37.329058549999999,-121.98854853,09/09/2014 12:00:00 AM +0000,ISD-GIS,Public School  :  Elementary School District,Both,,4369419,43694196067185,Cupertino Union,Elementary School District,Cupertino Union,0610290
POINT (-122.095037571999 37.371687369031),433,Springer Elementary,Public School,1120 Rose Avenue,Mountain View,94040,School Website 2014/CA_DEPT_EDU,43695186047500,,37.371682440000001,-122.09502445,10/08/2014 12:00:00 AM +0000,ISD-GIS,Public School  :  Elementary School District,Both,,4369518,43695186047500,Los Altos Elementary,Elementary School District,Los Altos Elem.,0622650
POINT (-121.810244351745 37.355062698116),322,Mt. Pleasant Elementary,Public School,14275 Candler Drive,San Jose,95127,School Website 2014/CA_DEPT_EDU,43696176048060,,37.35505775,-121.81023128,10/03/2014 12:00:00 AM +0000,ISD-GIS,Public School  :  Elementary School District,Both,,4369617,43696176067227,Mt. Pleasant Elementary,Elementary School District,Mt. Pleasant Elem.,0626400
POINT (-121.840514671519 37.337975731741),160,KIPP Heartwood Academy,Public School,1250 South King Road,San Jose,95122,School Website 2014/CA_DEPT_EDU,43693690106633,,37.337970779999999,-121.84050159,09/08/2014 12:00:00 AM +0000,ISD-GIS,Public School  :  Elementary School District,Both,,4369369,43693696089270,Alum Rock Union Elementary,Elementary School District,Alum Rock Union Elem.,0602310
POINT (-121.798844893184 37.346259329064),54,Latino College Preparatory Academy,Public School,1966 Flint Avenue,San Jose,95148,School Website 2014/CA_DEPT_EDU,43694274330668,,37.346254379999998,-121.79883182,08/26/2014 12:00:00 AM +0000,ISD-GIS,Public School  :  High School District,Both,,4369427,43694274337903,East Side Union High,High School District,East Side Union High,0611820
POINT (-122.137361003573 37.41328445966),59,Barron Park Elementary,Public School,800 Barron Avenue,Palo Alto,94306,School Website 2014/CA_DEPT_EDU,43696416115562,,37.413279529999997,-122.13734787,08/26/2014 12:00:00 AM +0000,ISD-GIS,Public School  :  Unified School District,Both,,4369641,43696416118707,Palo Alto Unified,Unified School District,Palo Alto Unified,0629610
POINT (-121.835660793002 37.326596125264),28,Harry Slonaker Academy,Public School,1601 Cunningham Avenue,San Jose,95122-2314,School Website 2014/CA_DEPT_EDU,43693696046171,,37.326591180000001,-121.83564772,08/18/2014 12:00:00 AM +0000,ISD-GIS,Public School  :  Elementary School District,Both,,4369369,43693696089270,Alum Rock Union Elementary,Elementary School District,Alum Rock Union Elem.,0602310
POINT (-121.876786053302 37.284289853505),102,Canoas Elementary,Public School,880 Wren Drive,San Jose,95125,School Website 2014/CA_DEPT_EDU,43696666048490,,37.284284909999997,-121.87677297,09/02/2014 12:00:00 AM +0000,ISD-GIS,Public School  :  Unified School District,Both,,4369666,43696666121073,San Jose Unified,Unified School District,San Jose Unified,0634590
POINT (-121.975452844348 37.366763475118),75,Bracher Elementary,Public School,2700 Chromite Drive,Santa Clara,95051,School Website 2014/CA_DEPT_EDU,43696746048805,,37.366758529999998,-121.97543974,08/27/2014 12:00:00 AM +0000,ISD-GIS,Public School  :  Unified School District,Both,,4369674,43696746048805,Santa Clara Unified,Unified School District,Santa Clara Unified,0635430
POINT (-121.940914407505 37.342386650003),84,Washington Elementary,Public School,270 Washington Avenue,Santa Clara,95050,School Website 2014/CA_DEPT_EDU,43696746049035,,37.342381709999998,-121.94090131,08/28/2014 12:00:00 AM +0000,ISD-GIS,Public School  :  Unified School District,Both,,4369674,43696746048805,Santa Clara Unified,Unified School District,Santa Clara Unified,0635430
