the_geom,OBJECTID,PLACENAME,PLACETYPE,ADDRESS,CITY,ZIP,SOURCE,UNIQUEID,SYMBOLOGYQUERY,LATITUDE,LONGITUDE,LASTUPDATE,EDITOR,NOTES,EditingNotes,ID_NCES,CD_CODE,CDS_CODE,DISTRICT_NAME,DISTRICT_TYPE,DISTRICT_NAME_SHORT,GEOID10
POINT (-122.009246051769 37.320805742214),143,Cupertino High,Public School,10100 Finch Avenue,Cupertino,95014,School Website 2014/CA_DEPT_EDU,43694684331799,,37.320800810000001,-122.00923295,09/08/2014 12:00:00 AM +0000,ISD-GIS,Public School  :  High School District,Both,,4369468,43694684334462,Fremont Union High,High School District,Fremont Union High,0614430
POINT (-121.858075027766 37.410637190204),296,Majestic Way Elementary,Public School,1855 Majestic Way,San Jose,95132,School Website 2014/CA_DEPT_EDU,43693776095343,,37.410632239999998,-121.85806194,09/30/2014 12:00:00 AM +0000,ISD-GIS,Public School  :  Elementary School District,Both,,4369377,43693776111348,Berryessa Union Elementary,Elementary School District,Berryessa Union Elem.,0604800
POINT (-121.856287580912 37.403803161225),426,Sierramont Middle,Public School,3155 Kimlee Drive,San Jose,95132,School Website 2014/CA_DEPT_EDU,43693776093033,,37.403798209999998,-121.85627449,10/08/2014 12:00:00 AM +0000,ISD-GIS,Public School  :  Elementary School District,Both,,4369377,43693776111348,Berryessa Union Elementary,Elementary School District,Berryessa Union Elem.,0604800
POINT (-121.789561698311 37.328065564734),336,Norwood Creek Elementary,Public School,3241 Remington Way,San Jose,95148,School Website 2014/CA_DEPT_EDU,43694356102081,,37.328060610000001,-121.78954863,10/06/2014 12:00:00 AM +0000,ISD-GIS,Public School  :  Elementary School District,Both,,4369435,43694356117956,Evergreen Elementary,Elementary School District,Evergreen Elem.,0613140
POINT (-121.766158020649 37.311797763444),112,Chaboya Middle,Public School,3276 Cortona Drive,San Jose,95135,School Website 2014/CA_DEPT_EDU,43694356110159,,37.31179281,-121.76614496000001,09/04/2014 12:00:00 AM +0000,ISD-GIS,Public School  :  Elementary School District,Both,,4369435,43694356117956,Evergreen Elementary,Elementary School District,Evergreen Elem.,0613140
POINT (-122.018288886151 37.193724730627),473,Lakeside Elementary,Public School,19621 Black Road,Loca Gatos,95033,School Website 2014/CA_DEPT_EDU,43694926047351,,37.193719809999997,-122.0182758,10/09/2014 12:00:00 AM +0000,ISD-GIS,Public School  :  Elementary School District,Both,,4369492,43694926047351,Lakeside Joint,Elementary School District,Lakeside Jt.,0620700
POINT (-122.111243829497 37.420491117026),481,Martin J. Spangler,Public School,3880 Middlefield Road,Palo Alto,94306,School Website 2014/CA_DEPT_EDU,43104396085476,,37.420486179999997,-122.11123069999999,10/09/2014 12:00:00 AM +0000,ISD-GIS,Public School  :  County Office of Education (COE),Both,,4310439,43104396069371,Santa Clara County Office of Education,County Office of Education (COE),Santa Clara County Office of Education,
POINT (-121.990382622961 37.396475438038),186,Fairwood Elementary,Public School,1110 Fairwood Avenue,Sunnyvale,94089,School Website 2014/CA_DEPT_EDU,43696906049217,,37.396470489999999,-121.99036952,09/11/2014 12:00:00 AM +0000,ISD-GIS,Public School  :  Elementary School District,Both,,4369690,43696906117196,Sunnyvale,Elementary School District,Sunnyvale,0638460
POINT (-121.881671690295 37.429871426275),373,Robert Randall Elementary,Public School,1300 Edsel Drive,Milpitas,95035,School Website 2014/CA_DEPT_EDU,43733876047674,,37.42986647,-121.88165859999999,10/06/2014 12:00:00 AM +0000,ISD-GIS,Public School  :  Unified School District,Both,,4373387,43733876067219,Milpitas Unified,Unified School District,Milpitas Unified,0624500
POINT (-121.877689784349 37.313436216895),377,Rocketship Alma Academy,Public School,198 West Alma Avenue,San Jose,95110,School Website 2014/CA_DEPT_EDU,43104390125799,,37.313431270000002,-121.87767669999999,10/06/2014 12:00:00 AM +0000,ISD-GIS,Public School  :  County Office of Education (COE),Both,,4310439,43104396069371,Santa Clara County Office of Education,County Office of Education (COE),Santa Clara County Office of Education,
POINT (-122.154572079071 37.433772956149),350,Palo Alto Unified School District,Public School,25 Churchill Avenue,Palo Alto,94306,School Website 2014/CA_DEPT_EDU,43696410000000,,37.433768020000002,-122.15455894,10/06/2014 12:00:00 AM +0000,ISD-GIS,Public School  :  Unified School District,Both,,4369641,43696416118707,Palo Alto Unified,Unified School District,Palo Alto Unified,0629610
POINT (-121.976596155417 37.268856847752),484,Cambrian Community School,Public School,1510 Hacienda Avenue,Campbell,95008,School Website 2014/CA_DEPT_EDU,43104394330163,,37.268851910000002,-121.97658306,10/09/2014 12:00:00 AM +0000,ISD-GIS,Public School  :  County Office of Education (COE),Both,,4310439,43104396069371,Santa Clara County Office of Education,County Office of Education (COE),Santa Clara County Office of Education,
POINT (-121.869433535842 37.270620195032),444,Terrell Elementary,Public School,3925 Pearl Avenue,San Jose,95136,School Website 2014/CA_DEPT_EDU,43696666048714,,37.270615249999999,-121.86942046,10/08/2014 12:00:00 AM +0000,ISD-GIS,Public School  :  Unified School District,Both,,4369666,43696666121073,San Jose Unified,Unified School District,San Jose Unified,0634590
POINT (-121.779305388993 37.302695043329),261,Laurelwood Elementary,Public School,4280 Partridge Drive,San Jose,95121,School Website 2014/CA_DEPT_EDU,43694356071534,,37.302690089999999,-121.77929232,09/29/2014 12:00:00 AM +0000,ISD-GIS,Public School  :  Elementary School District,Both,,4369435,43694356117956,Evergreen Elementary,Elementary School District,Evergreen Elem.,0613140
POINT (-121.845210998537 37.270896717045),353,Parkview Elementary,Public School,330 Bluefield Drive,San Jose,95136,School Website 2014/CA_DEPT_EDU,43696256093066,,37.270891769999999,-121.84519793,10/06/2014 12:00:00 AM +0000,ISD-GIS,Public School  :  Elementary School District,Both,,4369625,43696256117014,Oak Grove Elementary,Elementary School District,Oak Grove Elem.,0627810
POINT (-121.869520825315 37.353641779127),378,Rocketship Discovery Prep,Public School,370 Wooster Street,San Jose,95116,School Website 2014/CA_DEPT_EDU,43104390123281,,37.353636829999999,-121.86950774,10/06/2014 12:00:00 AM +0000,ISD-GIS,Public School  :  County Office of Education (COE),Both,,4310439,43104396069371,Santa Clara County Office of Education,County Office of Education (COE),Santa Clara County Office of Education,
POINT (-121.871883198217 37.34993279817),397,San Jose High Academy Plus,Public School,275 N. 24th Street,San Jose,95116,School Website 2014/CA_DEPT_EDU,43696664330478,,37.34992785,-121.87187011,10/07/2014 12:00:00 AM +0000,ISD_GIS,Public School  :  Unified School District,Both,,4369666,43696666121073,San Jose Unified,Unified School District,San Jose Unified,0634590
POINT (-122.129901770042 37.407624563197),250,Juana Briones Elementary,Public School,4100 Orme Street,Palo Alto,94306,School Website 2014/CA_DEPT_EDU,43696416048326,,37.407619629999999,-122.12988864,09/22/2014 12:00:00 AM +0000,ISD-GIS,Public School  :  Unified School District,Both,,4369641,43696416118707,Palo Alto Unified,Unified School District,Palo Alto Unified,0629610
POINT (-121.848639196377 37.320393160382),125,Yerba Buena High,Public School,1855 Lucretia Avenue,San Jose,95122,School Website 2014/CA_DEPT_EDU,43694274330015,,37.320388209999997,-121.84862612000001,09/05/2014 12:00:00 AM +0000,ISD-GIS,Public School  :  High School District,Both,,4369427,43694274337903,East Side Union High,High School District,East Side Union High,0611820
POINT (-122.061453660236 37.394304035924),431,Slater Special Education Preschool,Public School,220 North Whisman Road,Mountain View,94043,School Website 2014/CA_DEPT_EDU,43695910121889,,37.394299099999998,-122.06144054000001,10/08/2014 12:00:00 AM +0000,ISD-GIS,Public School  :  Elementary School District,Both,,4369591,43695916049514,Mountain View Whisman,Elementary School District,Mtn. View Whisman,0626280
POINT (-121.941278547561 37.257123274198),219,Cambrian Elementary School,Public School,4115 Jacksol Drive,San Jose,95124,School Website 2014/CA_DEPT_EDU,43693850000000,,37.257118339999998,-121.94126546,09/15/2014 12:00:00 AM +0000,ISD-GIS,Public School  :  Elementary School District,Current,,4369385,43693856116743,Cambrian,Elementary School District,Cambrian,0607140
POINT (-121.906896761663 37.350332757159),344,Osborne Juvenile Center,Public School,840 Guadalupe Parkway,San Jose,95110,School Website 2014/CA_DEPT_EDU,43104396066435,,37.350327810000003,-121.90688367,10/06/2014 12:00:00 AM +0000,ISD-GIS,Public School  :  County Office of Education (COE),Both,,4310439,43104396069371,Santa Clara County Office of Education,County Office of Education (COE),Santa Clara County Office of Education,
POINT (-121.996628761321 37.262999465504),300,Marshall Lane Elementary,Public School,14114 Marilyn Lane,Saratoga,95070,School Website 2014/CA_DEPT_EDU,43693936046619,,37.26299453,-121.99661567,09/30/2014 12:00:00 AM +0000,ISD-GIS,Public School  :  Elementary School District,Both,,4369393,43693936046692,Campbell Union,Elementary School District,Campbell Union,0607200
POINT (-121.826530299406 37.335109221426),157,Donald J. Meyer Elementary,Public School,1824 Daytona Drive,San Jose,95122,School Website 2014/CA_DEPT_EDU,43693696046155,,37.335104270000002,-121.82651722,09/08/2014 12:00:00 AM +0000,ISD-GIS,Public School  :  Elementary School District,Both,,4369369,43693696089270,Alum Rock Union Elementary,Elementary School District,Alum Rock Union Elem.,0602310
POINT (-122.043731216721 37.367035610191),142,Cumberland Elementary,Public School,824 Cumberland Avenue,Sunnyvale,94087,School Website 2014/CA_DEPT_EDU,43696906049175,,37.367030669999998,-122.04371810000001,09/08/2014 12:00:00 AM +0000,ISD-GIS,Public School  :  Elementary School District,Both,,4369690,43696906117196,Sunnyvale,Elementary School District,Sunnyvale,0638460
POINT (-122.114230793114 37.418694224793),228,Herbert Hoover Elementary,Public School,445 East Charleston Road,Palo Alto,94306,School Website 2014/CA_DEPT_EDU,43696416048201,,37.418689290000003,-122.11421765999999,09/15/2014 12:00:00 AM +0000,ISD-GIS,Public School  :  Unified School District,Both,,4369641,43696416118707,Palo Alto Unified,Unified School District,Palo Alto Unified,0629610
POINT (-121.846793615268 37.328669142951),415,Santee Elementary,Public School,1313 Audubon Drive,San Jose,95122,School Website 2014/CA_DEPT_EDU,43694506047252,,37.328664199999999,-121.84678054,10/08/2014 12:00:00 AM +0000,ISD-GIS,Public School  :  Elementary School District,Both,,4369450,43694506115943,Franklin-McKinley Elementary,Elementary School District,Franklin-McKinley Elem.,0614370
POINT (-121.991899383116 37.382905471363),438,Summit Public School: Denali,Public School,495 Mercury Drive,Sunnyvale,94085,School Website 2014/CA_DEPT_EDU,43104390128090,,37.382900530000001,-121.99188628,10/08/2014 12:00:00 AM +0000,ISD-GIS,Public School  :  County Office of Education (COE),Both,,4310439,43104396069371,Santa Clara County Office of Education,County Office of Education (COE),Santa Clara County Office of Education,
POINT (-121.960415326061 37.333191853556),459,Westwood Elementary,Public School,435 Saratoga Avenue,Santa Clara,95050,School Website 2014/CA_DEPT_EDU,43696746049043,,37.333186910000002,-121.96040223,10/09/2014 12:00:00 AM +0000,ISD-GIS,Public School  :  Unified School District,Both,,4369674,43696746048805,Santa Clara Unified,Unified School District,Santa Clara Unified,0635430
POINT (-121.985745510431 37.270899234012),458,Westmont High,Public School,4805 Westmont Avenue,Campbell,95008,School Website 2014/CA_DEPT_EDU,43694014338505,,37.270894300000002,-121.98573242000001,10/09/2014 12:00:00 AM +0000,ISD-GIS,Public School  :  High School District,Both,,4369401,43694014338505,Campbell Union High,High School District,Campbell Union High,0607230
POINT (-121.975689782722 37.345005350916),295,Magnolia Science Academy Santa Clara,Public School,2720 Sonoma Place,Santa Clara,95051,School Website 2014/CA_DEPT_EDU,43104390120261,,37.345000409999997,-121.97567668000001,09/30/2014 12:00:00 AM +0000,ISD-GIS,Public School  :  County Office of Education (COE),Both,,4310439,43104396069371,Santa Clara County Office of Education,County Office of Education (COE),Santa Clara County Office of Education,
POINT (-121.823741653939 37.377494467258),276,Linda Vista Elementary School,Public School,100 Kirk Ave,San Jose,95127,School Website 2014/CA_DEPT_EDU,43693696046213,,37.377489509999997,-121.82372857,09/30/2014 12:00:00 AM +0000,ISD-GIS,Public School  :  Elementary School District,Both,,4369369,43693696089270,Alum Rock Union Elementary,Elementary School District,Alum Rock Union Elem.,0602310
POINT (-121.820619573374 37.284889215066),198,G. W. Hellyer Elementary,Public School,725 Hellyer Avenue,San Jose,95111,School Website 2014/CA_DEPT_EDU,43694506047203,,37.284884269999999,-121.8206065,09/11/2014 12:00:00 AM +0000,ISD-GIS,Public School  :  Elementary School District,Both,,4369450,43694506115943,Franklin-McKinley Elementary,Elementary School District,Franklin-McKinley Elem.,0614370
POINT (-121.817817837249 37.279894187279),120,Christopher Elementary,Public School,565 Coyote Road,San Jose,95111,School Website 2014/CA_DEPT_EDU,43696256048102,,37.279889240000003,-121.81780477,09/05/2014 12:00:00 AM +0000,ISD-GIS,Public School  :  Elementary School District,Both,,4369625,43696256117014,Oak Grove Elementary,Elementary School District,Oak Grove Elem.,0627810
POINT (-121.841729918033 37.374624383611),61,William Sheppard Middle,Public School,480 Rough and Ready Road,San Jose,95133,School Website 2014/CA_DEPT_EDU,43693696046338,,37.374619430000003,-121.84171684,08/26/2014 12:00:00 AM +0000,ISD-GIS,Public School  :  Elementary School District,Both,,4369369,43693696089270,Alum Rock Union Elementary,Elementary School District,Alum Rock Union Elem.,0602310
POINT (-122.084737310124 37.405245134567),326,MVWSD Home & Hospital,Public School,"750 San Pierre Way, Suite A",Mountain View,94043,School Website 2014/CA_DEPT_EDU,43695910121913,,37.405240200000001,-122.08472419,10/03/2014 12:00:00 AM +0000,ISD-GIS,Public School  :  Elementary School District,Both,,4369591,43695916049514,Mountain View Whisman,Elementary School District,Mtn. View Whisman,0626280
POINT (-121.922041613642 37.29749953559),67,Blackford Elementary,Public School,1970 Willow Street,San Jose,95125,School Website 2014/CA_DEPT_EDU,43693936046510,,37.2974946,-121.92202853000001,08/27/2014 12:00:00 AM +0000,ISD-GIS,Public School  :  Elementary School District,Both,,4369393,43693936046692,Campbell Union,Elementary School District,Campbell Union,0607200
POINT (-121.885210954486 37.339678869739),235,Horace Mann Elementary,Public School,55 North Seventh Street,San Jose,95112,School Website 2014/CA_DEPT_EDU,43696666048599,,37.339673920000003,-121.88519787,09/15/2014 12:00:00 AM +0000,ISD-GIS,Public School  :  Unified School District,Both,,4369666,43696666121073,San Jose Unified,Unified School District,San Jose Unified,0634590
POINT (-121.886553681707 37.321684592945),381,Rocketship Mateo Sheedy Elementary,Public School,788 Locust Street,San Jose,95110,School Website 2014/CA_DEPT_EDU,43104390113704,,37.32167965,-121.8865406,10/06/2014 12:00:00 AM +0000,ISD-GIS,Public School  :  County Office of Education (COE),Both,,4310439,43104396069371,Santa Clara County Office of Education,County Office of Education (COE),Santa Clara County Office of Education,
POINT (-121.887819544724 37.280207010984),420,Schallenberger Elementary,Public School,1280 Koch Lane,San Jose,95125,School Website 2014/CA_DEPT_EDU,43696666048680,,37.280202070000001,-121.88780647,10/08/2014 12:00:00 AM +0000,ISD-GIS,Public School  :  Unified School District,Both,,4369666,43696666121073,San Jose Unified,Unified School District,San Jose Unified,0634590
POINT (-121.851060276241 37.390129061979),437,Summerdale Elementary,Public School,1100 Summerdale Drive,San Jose,95132,School Website 2014/CA_DEPT_EDU,43693776095350,,37.390124110000002,-121.85104719,10/08/2014 12:00:00 AM +0000,ISD-GIS,Public School  :  Elementary School District,Both,,4369377,43693776111348,Berryessa Union Elementary,Elementary School District,Berryessa Union Elem.,0604800
POINT (-121.837182096171 37.308749365125),436,Stonegate Elementary,Public School,2605 Gassmann Drive,San Jose,95121,School Website 2014/CA_DEPT_EDU,43694506071542,,37.308744419999996,-121.83716902,10/08/2014 12:00:00 AM +0000,ISD-GIS,Public School  :  Elementary School District,Both,,4369450,43694506115943,Franklin-McKinley Elementary,Elementary School District,Franklin-McKinley Elem.,0614370
POINT (-122.143397803235 37.442844385773),453,Walter Hays Elementary,Public School,1525 Middlefield Road,Palo Alto,94301,School Website 2014/CA_DEPT_EDU,43696416048409,,37.442839450000001,-122.14338467,10/09/2014 12:00:00 AM +0000,ISD-GIS,Public School  :  Unified School District,Both,,4369641,43696416118707,Palo Alto Unified,Unified School District,Palo Alto Unified,0629610
POINT (-122.155225946123 37.421466708131),177,Escondido Elementary,Public School,890 Escondido Road,Stanford,94305,School Website 2014/CA_DEPT_EDU,43696416048250,,37.421461770000001,-122.15521280999999,09/10/2014 12:00:00 AM +0000,ISD-GIS,Public School  :  Unified School District,Both,,4369641,43696416118707,Palo Alto Unified,Unified School District,Palo Alto Unified,0629610
POINT (-121.938793347755 37.315170402792),424,Central Independent Studies,Public School,649 Thornton Way,San Jose,95128,School Website 2014/CA_DEPT_EDU,43104394330189,,37.315165460000003,-121.93878026,10/08/2014 12:00:00 AM +0000,ISD-GIS,Public School  :  County Office of Education (COE),Both,,4310439,43104396069371,Santa Clara County Office of Education,County Office of Education (COE),Santa Clara County Office of Education,
POINT (-121.943799802087 37.308368462936),311,Monroe Middle,Public School,1055 South Monroe Street,San Jose,95128,School Website 2014/CA_DEPT_EDU,43693936046627,,37.30836352,-121.94378671,10/02/2014 12:00:00 AM +0000,ISD-GIS,Public School  :  Elementary School District,Both,,4369393,43693936046692,Campbell Union,Elementary School District,Campbell Union,0607200
POINT (-121.987447086422 37.348129578659),362,Pomeroy Elementary,Public School,1250 Pomeroy Avenue,Santa Clara,95051,School Website 2014/CA_DEPT_EDU,43696746048987,,37.348124640000002,-121.98743398000001,10/06/2014 12:00:00 AM +0000,ISD-GIS,Public School  :  Unified School District,Both,,4369674,43696746048805,Santa Clara Unified,Unified School District,Santa Clara Unified,0635430
POINT (-122.15620209389 37.414083031285),289,Lucille M. Nixon Elementary,Public School,1711 Stanford Avenue,Stanford,94305,School Website 2014/CA_DEPT_EDU,43696416068241,,37.414078099999998,-122.15618895999999,09/30/2014 12:00:00 AM +0000,ISD-GIS,Public School  :  Unified School District,Both,,4369641,43696416118707,Palo Alto Unified,Unified School District,Palo Alto Unified,0629610
POINT (-121.850724183273 37.314725307069),14,ACE Franklin McKinley,Public School,645 Wool Creek Drive,San Jose,95112,School Website 2014/CA_DEPT_EDU,43694500129247,,37.314720360000003,-121.85071111000001,08/14/2014 12:00:00 AM +0000,ISD-GIS,Public School  :  Elementary School District,Both,,4369450,43694506115943,Franklin-McKinley Elementary,Elementary School District,Franklin-McKinley Elem.,0614370
POINT (-121.609958531324 37.088443854389),405,South County Community,Public School,100 North Street,San Jose,95046,School Website 2014/CA_DEPT_EDU,43104396100515,,37.088438910000001,-121.60994552,10/07/2014 12:00:00 AM +0000,ISD-GIS,Public School  :  County Office of Education (COE),Both,,4310439,43104396069371,Santa Clara County Office of Education,County Office of Education (COE),Santa Clara County Office of Education,
POINT (-121.872263482167 37.350882600679),395,Sunrise Middle,Public School,"1149 East Julian Street, Building F",San Jose,95116,School Website 2014/CA_DEPT_EDU,43696660124065,,37.350877650000001,-121.8722504,10/07/2014 12:00:00 AM +0000,ISD-GIS,Public School  :  Unified School District,Both,,4369666,43696666121073,San Jose Unified,Unified School District,San Jose Unified,0634590
POINT (-121.865275016583 37.356777703386),38,East Valley,Public School,333 North 33rd Street,San Jose,95116,School Website 2014/CA_DEPT_EDU,43104396085484,,37.357013369999997,-121.86485832,08/19/2014 12:00:00 AM +0000,ISD-GIS,Public School  :  County Office of Education (COE),Both,,4310439,43104396069371,Santa Clara County Office of Education,County Office of Education (COE),Santa Clara County Office of Education,
POINT (-121.966676187657 37.424498025834),206,George Mayne Elementary,Public School,5030 North First Street,Santa Clara,95002,School Website 2014/CA_DEPT_EDU,43696746048870,,37.424493079999998,-121.96666308,09/11/2014 12:00:00 AM +0000,ISD-GIS,Public School  :  Unified School District,Both,,4369674,43696746048805,Santa Clara Unified,Unified School District,Santa Clara Unified,0635430
POINT (-121.857901597302 37.246836774396),23,Allen at Steinbeck,Public School,820 Steinbeck Drive,San Jose,95123,School Website 2014/CA_DEPT_EDU,43696666048417,,37.246831829999998,-121.85788853,08/18/2014 12:00:00 AM +0000,ISD-GIS,Public School  :  Unified School District,Both,,4369666,43696666121073,San Jose Unified,Unified School District,San Jose Unified,0634590
POINT (-121.875019291078 37.35503317492),175,Empire Gardens Elementary,Public School,1060 East Empire Street,San Jose,95112,School Website 2014/CA_DEPT_EDU,43696666048516,,37.355028230000002,-121.87500621,09/10/2014 12:00:00 AM +0000,ISD-GIS,Public School  :  Unified School District,Both,,4369666,43696666121073,San Jose Unified,Unified School District,San Jose Unified,0634590
POINT (-121.824918383443 37.315492345001),337,O. B. Whaley Elementary,Public School,2655 Alvin Avenue,San Jose,95121,School Website 2014/CA_DEPT_EDU,43694356047161,,37.315487400000002,-121.82490531000001,10/06/2014 12:00:00 AM +0000,ISD-GIS,Public School  :  Elementary School District,Both,,4369435,43694356117956,Evergreen Elementary,Elementary School District,Evergreen Elem.,0613140
POINT (-121.924356494194 37.310287825619),425,Sherman Oaks Elementary,Public School,1800 Fruitdale Avenue,San Jose,95128,School Website 2014/CA_DEPT_EDU,43693936046692,,37.310282890000003,-121.92434341000001,10/08/2014 12:00:00 AM +0000,ISD-GIS,Public School  :  Elementary School District,Both,,4369393,43693936046692,Campbell Union,Elementary School District,Campbell Union,0607200
POINT (-122.12664117792 37.403225002399),443,Terman Middle,Public School,655 Arastradero Road,Palo Alto,94306,School Website 2014/CA_DEPT_EDU,43696416118707,,37.403220070000003,-122.12662804999999,10/08/2014 12:00:00 AM +0000,ISD-GIS,Public School  :  Unified School District,Both,,4369641,43696416118707,Palo Alto Unified,Unified School District,Palo Alto Unified,0629610
POINT (-121.81458348885 37.367826054516),233,Horace Cureton Elementary,Public School,3720 East Hills Drive,San Jose,95127,School Website 2014/CA_DEPT_EDU,43693696046189,,37.3678211,-121.81457041,09/15/2014 12:00:00 AM +0000,ISD-GIS,Public School  :  Elementary School District,Both,,4369369,43693696089270,Alum Rock Union Elementary,Elementary School District,Alum Rock Union Elem.,0602310
POINT (-121.820176956538 37.365474944356),130,Coniff Preschool,Public School,3393 C. Hills Drive,San Jose,95127,School Website 2014/CA_DEPT_EDU,43693699007154,,37.365469990000001,-121.82016388,09/05/2014 12:00:00 AM +0000,ISD-GIS,Public School  :  Elementary School District,Current,,4369369,43693696089270,Alum Rock Union Elementary,Elementary School District,Alum Rock Union Elem.,0602310
POINT (-121.879824935869 37.260864964916),80,Broadway High,Public School,4825 Speak Lane,San Jose,95118,School Website 2014/CA_DEPT_EDU,43696664332110,,37.260860030000003,-121.87981186,08/27/2014 12:00:00 AM +0000,ISD-GIS,Public School  :  Unified School District,Both,,4369666,43696666121073,San Jose Unified,Unified School District,San Jose Unified,0634590
POINT (-121.843870315343 37.216899670795),267,Leland Plus (Continuation),Public School,6677 Camden Avenue,San Jose,95120,School Website 2014/CA_DEPT_EDU,43696664330460,,37.21689473,-121.84385725,09/30/2014 12:00:00 AM +0000,ISD-GIS,Public School  :  Unified School District,Both,,4369666,43696666121073,San Jose Unified,Unified School District,San Jose Unified,0634590
POINT (-121.812475190643 37.345247829563),17,William R. Rogers Elementary,Public School,2999 Ridgemont Drive,San Jose,95127,School Website 2014/CA_DEPT_EDU,43693696046346,,37.345242880000001,-121.81246212000001,08/14/2014 12:00:00 AM +0000,ISD-GIS,Public School  :  Elementary School District,Not in Current,,4369369,43693696089270,Alum Rock Union Elementary,Elementary School District,Alum Rock Union Elem.,0602310
POINT (-121.982058499145 37.275636028564),192,Forest Hill Elementary,Public School,4450 McCoy Avenue,San Jose,95130,School Website 2014/CA_DEPT_EDU,43693936046577,,37.275631089999997,-121.98204541,09/11/2014 12:00:00 AM +0000,ISD-GIS,Public School  :  Elementary School District,Both,,4369393,43693936046692,Campbell Union,Elementary School District,Campbell Union,0607200
POINT (-121.97568152966 37.357919418391),72,Bowers Elementary,Public School,2755 Barkley Avenue,Santa Clara,95051,School Website 2014/CA_DEPT_EDU,43696746048797,,37.357914479999998,-121.97566843,08/27/2014 12:00:00 AM +0000,ISD-GIS,Public School  :  Unified School District,Both,,4369674,43696746048805,Santa Clara Unified,Unified School District,Santa Clara Unified,0635430
POINT (-121.986108006701 37.283951551729),223,Gussie M. Baker Elementary,Public School,4845 Bucknall Road,San Jose,95130,School Website 2014/CA_DEPT_EDU,43695756047807,,37.283946620000002,-121.98609491000001,09/15/2014 12:00:00 AM +0000,ISD-GIS,Public School  :  Elementary School District,Both,,4369575,43695756047831,Moreland Elementary,Elementary School District,Moreland Elem.,0625770
POINT (-122.175012121819 37.4358817952),347,Packard Children's Hospital/Stanford,Public School,725 Welch Road,Palo Alto,94304,School Website 2014/CA_DEPT_EDU,43696416048375,,37.43587686,-122.17499898,10/06/2014 12:00:00 AM +0000,ISD-GIS,Public School  :  Unified School District,Both,,4369641,43696416118707,Palo Alto Unified,Unified School District,Palo Alto Unified,0629610
POINT (-121.96630783063 37.230491137517),286,Louise Van Meter Elementary,Public School,16445 Los Gatos Boulevard,Los Gatos,95032,School Website 2014/CA_DEPT_EDU,43695266047542,,37.230486210000002,-121.96629475,09/30/2014 12:00:00 AM +0000,ISD-GIS,Public School  :  Elementary School District,Both,,4369526,43695266047567,Los Gatos Union Elementary,Elementary School District,Los Gatos Union Elem.,0622830
POINT (-122.026309157923 37.306478240835),367,R. I. Meyerholz Elementary,Public School,6990 Melvin Drive,San Jose,95129,School Website 2014/CA_DEPT_EDU,43694196047047,,37.306473310000001,-122.02629605,10/06/2014 12:00:00 AM +0000,ISD-GIS,Public School  :  Elementary School District,Both,,4369419,43694196067185,Cupertino Union,Elementary School District,Cupertino Union,0610290
POINT (-121.853714935651 37.326305768823),482,C. W. Washintgon,Public School,1375 Lucretia,San Jose,95112,School Website 2014/CA_DEPT_EDU,43104394330098,,37.32630082,-121.85370186,10/09/2014 12:00:00 AM +0000,ISD-GIS,Public School  :  County Office of Education (COE),Both,,4310439,43104396069371,Santa Clara County Office of Education,County Office of Education (COE),Santa Clara County Office of Education,
POINT (-121.871211649305 37.414145351955),258,Laneview Elementary,Public School,2095 Warmwood Lane,San Jose,95132,School Website 2014/CA_DEPT_EDU,43693776046361,,37.414140400000001,-121.87119856,09/29/2014 12:00:00 AM +0000,ISD-GIS,Public School  :  Elementary School District,Both,,4369377,43693776111348,Berryessa Union Elementary,Elementary School District,Berryessa Union Elem.,0604800
POINT (-121.824199509709 37.288465164842),384,Rocketship Spark Academy,Public School,683 Sylvandale Avenue,San Jose,95111,School Website 2014/CA_DEPT_EDU,43694500128108,,37.288460219999997,-121.82418644000001,10/07/2014 12:00:00 AM +0000,ISD-GIS,Public School  :  Elementary School District,Both,,4369450,43694506115943,Franklin-McKinley Elementary,Elementary School District,Franklin-McKinley Elem.,0614370
POINT (-121.801414143472 37.3525083815),374,Robert Sanders Elementary,Public School,3411 Rocky Mountain Drive,San Jose,95127,School Website 2014/CA_DEPT_EDU,43696176048078,,37.352503429999999,-121.80140107,10/06/2014 12:00:00 AM +0000,ISD-GIS,Public School  :  Elementary School District,Both,,4369617,43696176067227,Mt. Pleasant Elementary,Elementary School District,Mt. Pleasant Elem.,0626400
POINT (-122.022994782579 37.327132594976),364,Portal Instructional Center,Public School,10300 N. Blaney Avenue,Cupertino,95104,School Website 2014/CA_DEPT_EDU,43694196104046,,37.327127660000002,-122.02298168,10/06/2014 12:00:00 AM +0000,ISD-GIS,Public School  :  Elementary School District,Both,,4369419,43694196067185,Cupertino Union,Elementary School District,Cupertino Union,0610290
POINT (-121.829975883103 37.330913040965),43,William C. Overfelt High,Public School,1835 Cunningham Avenue,San Jose,95122,School Website 2014/CA_DEPT_EDU,43694274335428,,37.330908090000001,-121.82996281,08/25/2014 12:00:00 AM +0000,ISD-GIS,Public School  :  High School District,Both,,4369427,43694274337903,East Side Union High,High School District,East Side Union High,0611820
