ZIP,ADDRESS,ORGLD,ORIG LSPRC,LIST PRICE,SALE PRICE,SQFT,LOTSZ,COE,DOM,LATITUDE,LONGITUDE
95130,4895 Vanderbilt DR,May-08,"1,329,788","1,329,788","1,200,000",1181,5702,Jul-08,31,37.2789092843765,-121.986555923707
95130,4280 Latimer AVE,Jun-11,"1,158,000","1,158,000","1,240,000",1293,5849,Jul-11,9,37.2916705822806,-121.978656790238
95130,4537 Alex DR,May-28,"1,299,888","1,299,888","1,250,000",1641,6206,Jul-12,16,37.2798195630119,-121.981202520678
95130,4772 Bannock CIR,May-08,"1,380,000","1,400,000","1,385,000",1322,8109,Jul-12,42,37.2744319733761,-121.984458206335
95130,1368 Stockbridge DR,May-28,"1,295,000","1,295,000","1,410,000",1230,6097,Jul-01,8,37.2995006602528,-121.970176234525
95130,4961 Elmwood DR,May-28,"1,480,000","1,480,000","1,480,000",1250,7337,Jul-05,8,37.2876514385656,-121.988658612045
95130,1484 Hartley CT,May-14,"1,499,888","1,499,888","1,625,000",2036,7956,Jul-16,7,37.2967190030688,-121.969308317316
95130,4098 Moreland WAY,May-29,"1,688,888","1,688,888","1,700,000",1716,10095,Jul-01,6,37.297628607152,-121.974065052483
95130,2008 Heather Glen DR,Jun-21,"1,698,000","1,698,000","1,720,000",2051,2694,Jul-08,7,37.2863817278846,-121.985510551369
