ZIP,ADDRESS,ORGLD,ORIG LSPRC,LIST PRICE,SALE PRICE,SQFT,LOTSZ,COE,DOM,LATITUDE,LONGITUDE
95129,6685 Rainbow DR,May-22,"1,698,998","1,698,998","1,800,000",1237,7260,Jul-05,16,37.3012425421335,-122.021251405233
95129,6497 Rainbow DR,May-28,"1,799,000","1,799,000","1,850,000",1415,6863,Jul-09,9,37.3010883877551,-122.018659653061
95129,5980 Royal Ann DR,May-28,"1,975,000","1,975,000","2,030,000",1856,7238,Jul-01,9,37.2980342836119,-122.009185299329
95129,5931 Dial WAY,May-28,"2,080,000"," 2,080,000","2,150,000",1883,9119,Jul-16,15,37.2989541191293,-122.008610515219
95129,1340 Bretmoor WAY,Mar-27,"1,998,000","1,998,000","2,360,000",1689,8467,Jul-10,7,37.2997434133799,-122.0224919521
